# Nmax = 5
# L1 L2 L3   u11 u12 u13   u21 u22 u23   u31 u32 u33   (periodicity)
1.0000 1.0000 1.0000   1 0 0   0 1 0   0 0 1   (123)
1.4142 0.7071 1.0000   1 1 0   0 1 0   0 0 1   (13)
1.4142 1.0000 0.7071   1 1 0   0 0 1   1 0 0   (12)
1.4142 1.2247 0.5774   1 1 0   1 0 1   1 0 0   (1)
1.7321 0.8165 0.7071   1 1 1   1 0 0   0 1 0   (1)
1.7321 1.4142 0.4082   1 1 1   2 0 1   1 0 0   (12)
1.4142 2.1213 0.3333   1 1 0   0 1 2   0 0 1   (1)
1.7321 2.1602 0.2673   1 1 1   3 0 1   1 0 0   (1)
2.2361 1.0000 0.4472   2 1 0   0 0 1   1 0 0   (12)
2.2361 1.0954 0.4082   2 1 0   1 0 1   1 0 0   (1)
2.2361 1.3416 0.3333   2 1 0   0 1 1   1 0 0   (1)
2.2361 1.6733 0.2673   2 1 0   3 0 1   1 0 0   (1)
2.2361 2.0494 0.2182   2 1 0   0 2 1   1 0 0   (1)
1.4142 2.3452 0.3015   1 1 0   3 0 1   1 0 0   (1)
2.2361 2.4083 0.1857   2 0 1   3 2 0   1 1 0   (1)
2.4495 0.7071 0.5774   2 1 1   1 1 0   0 1 0   (1)
2.4495 0.5774 0.7071   2 1 1   1 0 0   0 1 0   (1)
2.4495 0.9129 0.4472   2 1 1   0 0 1   1 0 0   (1)
2.4495 1.3540 0.3015   2 1 1   1 -1 0   1 0 0   (1)
2.4495 1.5275 0.2673   2 1 1   1 2 0   0 1 0   (1)
2.4495 1.8708 0.2182   2 1 1   0 1 2   1 0 0   (1)
2.4495 2.1985 0.1857   2 1 1   0 2 -1   1 0 1   (1)
2.4495 2.2361 0.1826   2 1 1   1 -2 0   0 1 0   (12)
2.4495 2.4152 0.1690   2 1 1   1 3 0   0 1 0   (1)
2.2361 2.8636 0.1562   2 1 0   0 3 1   1 0 0   (1)
2.4495 2.8868 0.1414   2 1 1   1 3 -1   1 0 1   (1)
1.4142 2.9155 0.2425   1 1 0   0 3 2   0 1 1   (1)
1.7321 2.9439 0.1961   1 1 1   4 0 1   1 0 0   (1)
2.4495 2.9721 0.1374   2 1 1   0 2 3   1 0 0   (1)
3.0000 0.4714 0.7071   2 2 1   1 1 0   0 1 0   (1)
3.0000 0.7454 0.4472   2 2 1   1 0 0   0 1 0   (1)
3.0000 1.0000 0.3333   2 2 1   0 1 1   1 0 0   (1)
3.0000 1.3744 0.2425   2 2 1   1 0 -1   1 1 0   (1)
3.0000 1.4142 0.2357   2 2 1   1 -1 0   1 0 0   (12)
3.0000 1.6997 0.1961   2 2 1   1 3 0   0 1 0   (1)
3.0000 1.7951 0.1857   2 2 1   1 0 2   1 1 0   (1)
3.0000 2.1344 0.1562   2 2 1   3 0 1   0 1 0   (1)
3.0000 2.2361 0.1491   2 2 1   1 0 -2   1 1 0   (12)
3.0000 2.3570 0.1414   2 2 1   1 -1 2   1 0 1   (1)
